Role.in.Operation,County,County.Multiple,Regions,Total.Yield.Bearing.Acreage,Acre.Ranges,Cover.Crop.Grown,Cover.Crop.Seeds,Cover.Crop.Satisfaction,Cover.Crop.Interest,Cover.Crop.Concerns,Cover.Crop.Incentives,Pollination,Beekeeper.Location,Rental.Price,Age
Owner/operator of almond orchard(s),Fresno,Fresno,South,590,Large,No,NA,NA,No,"Availability of water,Effort/time to manage it,Increased risk of frost damage,Physical interference with operations",Decreased rental fee for managed bee colonies,We rented all our bees,"California, but not a neighboring county",175,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,40,Small,No,NA,NA,Not sure,"Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",NA,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,10,Small,Yes,Directly from seed company,Somewhat Satisfied,NA,"Effort/time to manage it,Labor to grow/maintain it",NA,We rented all our bees,"California, but not a neighboring county",245,35-44 years old
"Owner, not responsible for day-to-day management",Merced,Merced,Central,23,Small,No,NA,NA,Yes,"Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",185,25-34 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,18,Small,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,Out of state,1.9,55-64 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,15,Small,No,NA,NA,Not sure,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Prefer not to answer,Near your orchard(s): from the same county or a neighboring county,200,18-24 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,8,Small,No,NA,NA,Not sure,Effort/time to manage it,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,195,65-74 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,39.8,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,190,55-64 years old
"Owner, not responsible for day-to-day management",Stanislaus,Stanislaus,Central,255,Large,No,NA,NA,No,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,190,55-64 years old
Owner/operator of almond orchard(s),"Madera,Fresno",Multiple,South,50,Medium,Yes,"Federal cost-share program (e.g., EQIP),Private cost-share program (e.g., Seeds for Bees),Directly from seed company,PCA/CCA/Crop consultant",Very Satisfied,NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",NA,We rented all our bees,"California, but not a neighboring county",N/A,45-54 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,72,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,NA,"Availability of water,Expense of water,Labor to grow/maintain it",NA,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,185,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,100,Medium,No,NA,NA,No,"Incompatibility with irrigation system(s),Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",Increased strength of bee colonies during bloom,We rented all our bees,"California, but not a neighboring county",180,65-74 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,249,Large,No,NA,NA,Yes,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,Out of state,173,55-64 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,80,Medium,No,NA,NA,Not sure,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,180,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,120,Medium,No,NA,NA,Not sure,Limited time for planting due to competing operations,None of these are incentives,We rented all our bees,Out of state,165,65-74 years old
Owner/operator of almond orchard(s),"San Joaquin, Kerman",Multiple,Central,55,Medium,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",NA,We rented all our bees,Out of state,190,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,35,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Increased risk of frost damage","Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,185,55-64 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,62,Medium,No,NA,NA,No,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it",None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,NA,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,30,Small,No,NA,NA,Not sure,"Availability of water,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,195,55-64 years old
Owner/operator of almond orchard(s),Kern,Kern,South,37,Small,No,NA,NA,Not sure,"Expense of water,Incompatibility with irrigation system(s)",Federal cost-share program that covers the cost of cover crop seeds,We rented all our bees,"California, but not a neighboring county",200,45-54 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,18,Small,No,NA,NA,No,"Availability of water,Effort/time to manage it,Labor to grow/maintain it",None of these are incentives,We rented all our bees,Out of state,N/A,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,14,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",NA,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,0,Small,Yes,Directly from seed company,Very Satisfied,NA,We have no concerns about cover crops,NA,Our orchards were not mature enough for bee pollination,NA,NA,65-74 years old
Farm manager (not owner),Merced,Merced,Central,74,Medium,No,NA,NA,Not sure,"Expense of water,Effort/time to manage it,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,255,55-64 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,18.7,Small,No,NA,NA,No,Availability of water,None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,65-74 years old
Owner/operator of almond orchard(s),"Stanislaus,Merced",Multiple,Central,145,Medium,No,NA,NA,No,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,Out of state,NA,65-74 years old
Farm manager (not owner),Kings,Kings,South,55,Medium,No,NA,NA,Not sure,Availability of water,"Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,NA,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,1500,Large,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Expense of water,Increased risk of frost damage",NA,We rented all our bees,Out of state,175,45-54 years old
Owner/operator of almond orchard(s),"Glenn,Stanislaus",Multiple,North,75,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Very Satisfied,NA,"Inadequate soil type for cover crops,Increased risk of frost damage,Physical interference with operations",NA,We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,Out of state",185,35-44 years old
Farm manager (not owner),Fresno,Fresno,South,961,Large,No,NA,NA,No,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies",We rented all our bees,Out of state,185,65-74 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,1550,Large,Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Very Satisfied,NA,Limited time for planting due to competing operations,NA,We rented all our bees,Out of state,195,25-34 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,25,Small,No,NA,NA,Not sure,Incompatibility with irrigation system(s),Prefer not to answer,Prefer not to answer,Prefer not to answer,0,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,3,Small,No,NA,NA,Yes,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,Out of state",175,25-34 years old
Owner/operator of almond orchard(s),Kern,Kern,South,4000,Large,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Prefer not to answer,205,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,18,Small,No,NA,NA,Yes,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds",We rented all our bees,Out of state,195,45-54 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,3300,Large,No,NA,NA,Not sure,"Availability of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,Out of state,190,55-64 years old
Farm manager (not owner),Kern,Kern,South,20,Small,No,NA,NA,Yes,Physical interference with operations,"Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds",We rented all our bees,"California, but not a neighboring county",NA,25-34 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,20,Small,No,NA,NA,Not sure,"Availability of water,Increased risk of frost damage","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,150,65-74 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,45,Medium,No,NA,NA,Not sure,"Incompatibility with irrigation system(s),Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,Out of state,195,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,8.5,Small,No,NA,NA,Not sure,"Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,35-44 years old
"Owner, not responsible for day-to-day management",Yuba,Yuba,Delta,46,Medium,Yes,Directly from seed company,Not Satisfied,NA,Cost of equipment needed to plant seeds,NA,Our orchards were not mature enough for bee pollination,NA,NA,65-74 years old
Owner/operator of almond orchard(s),Butte,Butte,North,5,Small,No,NA,NA,Yes,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,235,45-54 years old
Farm manager (not owner),Tulare,Tulare,South,5,Small,No,NA,NA,Not sure,Availability of water,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,210,Prefer not to answer
Owner/operator of almond orchard(s),San Joaquin,San Joaquin,Central,23,Small,Yes,Directly from seed company,Not Satisfied,NA,"Availability of water,Incompatibility with irrigation system(s),Inadequate soil type for cover crops",NA,We rented all our bees,Out of state,265,65-74 years old
Owner/operator of almond orchard(s),"Solano,Merced",Multiple,Delta,8,Small,No,NA,NA,No,Availability of water,None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,NA,35-44 years old
"Owner, not responsible for day-to-day management",Stanislaus,Stanislaus,Central,57,Medium,No,NA,NA,Not sure,"Incompatibility with irrigation system(s),Increased risk of frost damage,Physical interference with operations",None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,75 years or older
Farm manager (not owner),"Stanislaus,Merced",Multiple,Central,150,Medium,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,"Availability of water,Inadequate soil type for cover crops",NA,We rented all our bees,Out of state,200,25-34 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,33,Small,No,NA,NA,Not sure,"Effort/time to manage it,Cost of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,150,65-74 years old
"Owner, not responsible for day-to-day management",Fresno,Fresno,South,300,Large,No,NA,NA,No,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Availability of equipment needed to plant seeds,Cost of seeds","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,220,45-54 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,30,Small,No,NA,NA,Not sure,"Increased risk of frost damage,Physical interference with operations",None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,195,65-74 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,20,Small,No,NA,NA,No,We have no concerns about cover crops,None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,180,65-74 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,N/A,NA,No,NA,NA,Not sure,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage",None of these are incentives,We rented all our bees,"California, but not a neighboring county",210,25-34 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,800,Large,No,NA,NA,Yes,"Expense of water,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county,Out of state",185,45-54 years old
Owner/operator of almond orchard(s),Fresno,Fresno,Central,65,Medium,No,NA,NA,No,Prefer not to answer,Prefer not to answer,We rented all our bees,Prefer not to answer,250,65-74 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,61,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,NA,"Effort/time to manage it,Availability of equipment needed to plant seeds,Physical interference with operations",NA,We rented all our bees,Out of state,175,55-64 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,18,Small,No,NA,NA,No,"Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We supplied all of our own bee pollination,NA,NA,25-34 years old
Farm manager (not owner),Fresno,Fresno,South,20,Small,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Inadequate soil type for cover crops,Increased risk of frost damage,Limited time for planting due to competing operations",NA,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,160,55-64 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,20,Small,No,NA,NA,Not sure,Increased risk of frost damage,None of these are incentives,Our orchards were not mature enough for bee pollination,NA,NA,55-64 years old
Owner/operator of almond orchard(s),San Joaquin,San Joaquin,Central,6,Small,No,NA,NA,No,We have no concerns about cover crops,Increased strength of bee colonies during bloom,We supplied all of our own bee pollination,NA,NA,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,79,Medium,Yes,Directly from seed company,Somewhat Satisfied,NA,Physical interference with operations,NA,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,175,25-34 years old
Farm manager (not owner),Tulare,Tulare,South,23,Small,No,NA,NA,No,"Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds",We supplied all of our own bee pollination,NA,NA,35-44 years old
Farm manager (not owner),Yuba,Yuba,Delta,9,Small,No,NA,NA,Not sure,"Labor to grow/maintain it,Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,225,45-54 years old
Owner/operator of almond orchard(s),Tulare,Tulare,South,80,Medium,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s)","Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,195,25-34 years old
Farm manager (not owner),Merced,Merced,Central,918.1,Large,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Effort/time to manage it,Labor to grow/maintain it",NA,We rented all our bees,Out of state,180,35-44 years old
Farm manager (not owner),Fresno,Fresno,South,365,Large,Yes,Directly from seed company,Somewhat Satisfied,NA,"Labor to grow/maintain it,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations",NA,We rented all our bees,Out of state,175,45-54 years old
"Owner, not responsible for day-to-day management",Madera,Madera,Central,29,Small,Yes,"Federal cost-share program (e.g., EQIP)",Very Satisfied,NA,We have no concerns about cover crops,NA,We supplied all of our own bee pollination,NA,NA,35-44 years old
Owner/operator of almond orchard(s),Colusa,Colusa,North,80,Medium,No,NA,NA,Not sure,"Expense of water,Effort/time to manage it","Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",205,55-64 years old
Owner/operator of almond orchard(s),"Fresno,Kings",Multiple,South,10,Small,No,NA,NA,No,"Availability of equipment needed to plant seeds,Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Out of state,195,25-34 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,60,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,We have no concerns about cover crops,NA,We rented some bees and supplied some of our own,"California, but not a neighboring county",200,65-74 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,160,Medium,No,NA,NA,Yes,Effort/time to manage it,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,200,75 years or older
Farm manager (not owner),Yolo,Yolo,Delta,37,Small,Yes,"Federal cost-share program (e.g., EQIP)",Very Satisfied,NA,We have no concerns about cover crops,NA,Prefer not to answer,Out of state,215,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,100,Medium,No,NA,NA,No,Availability of equipment needed to plant seeds,Easy/affordable access to equipment needed to plant seeds,We rented all our bees,Out of state,185,25-34 years old
Farm manager (not owner),"Fresno,Kings",Multiple,South,201.5,Large,Yes,Directly from seed company,Very Satisfied,NA,"Incompatibility with irrigation system(s),Limited time for planting due to competing operations",NA,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,195,25-34 years old
Owner/operator of almond orchard(s),Solano,Solano,Delta,240,Large,No,NA,NA,Yes,"Cost of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,25-34 years old
Owner/operator of almond orchard(s),Solano,Solano,Delta,397,Large,No,NA,NA,No,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,"California, but not a neighboring county",200,25-34 years old
"Owner, not responsible for day-to-day management",Merced,Merced,Central,88,Medium,No,NA,NA,Not sure,"Availability of water,Expense of water","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We supplied all of our own bee pollination,NA,NA,25-34 years old
Owner/operator of almond orchard(s),Solano,Solano,Delta,227,Large,Yes,Directly from seed company,Somewhat Satisfied,NA,"Effort/time to manage it,Limited time for planting due to competing operations,Physical interference with operations",NA,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,190,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,200,Medium,No,NA,NA,Not sure,"Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county,Out of state",170,45-54 years old
Farm manager (not owner),Kings,Kings,South,12,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations",NA,Our orchards were not mature enough for bee pollination,NA,NA,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,200,Medium,Yes,Directly from seed company,Not Satisfied,NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations",NA,Prefer not to answer,Prefer not to answer,0,55-64 years old
Farm manager (not owner),Tehama,Tehama,North,5,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Not Satisfied,NA,"Availability of water,Expense of water",NA,Prefer not to answer,"California, but not a neighboring county",195,45-54 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,15,Small,No,NA,NA,Not sure,Effort/time to manage it,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,"California, but not a neighboring county",185,45-54 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,80,Medium,No,NA,NA,No,"Labor to grow/maintain it,Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,200,55-64 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,180,Medium,No,NA,NA,Not sure,"Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Out of state,150,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,33.9,Small,No,NA,NA,Yes,We have no concerns about cover crops,"Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,210,45-54 years old
Farm manager (not owner),Yolo,Yolo,Delta,1113,Large,No,NA,NA,Yes,"Effort/time to manage it,Increased risk of frost damage,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,45-54 years old
Owner/operator of almond orchard(s),Sutter,Sutter,Delta,16,Small,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations",NA,We rented all our bees,Out of state,185,55-64 years old
