EndDate,Role in Operation,County,Regions,Total Yield Bearing Acreage,Acre Ranges,Total Non-Yield Bearing Acreage,Pollination Manager,Cover Crop Grown,Cover Crop Seeds,Cover Crop Satisfaction,Cover Crop Interest,Cover Crop Concerns,Cover Crop Incentives,Water Source,PPH Grown,PPH Satisfaction,PPH Interest,PPH Concerns,PPH Incentives,Pollination,Beekeeper Location,Rental Price,Age
1/15/20,Owner/operator of almond orchard(s),Fresno,South,900,Large,300,Owner of the almond orchard(s),No,,,Not sure,"Availability of water,Incompatibility with irrigation system(s)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",Groundwater,No,,No,"Incompatibility with irrigation system(s),Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,190,65-74 years old
1/15/20,"Owner, not responsible for day-to-day management",Tulare,South,57,Medium,9,Beekeeper,No,,,Not sure,Prefer not to answer,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Groundwater,Not sure,,Yes,Lack of information about how to grow permanent pollinator habitat,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",Our orchards were not mature enough for bee pollination,,,18-24 years old
1/15/20,Farm manager (not owner),Colusa,North,850,Large,50,Pesticide applicator,Yes,Directly from seed company,Very Satisfied,,Inadequate soil type for cover crops,,Groundwater,Yes,Somewhat Satisfied,,We have no concerns about permanent habitat,None of these are incentives,We rented all our bees,Out of state,195,35-44 years old
1/15/20,"Owner, not responsible for day-to-day management",Stanislaus,Central,60,Medium,2,Pesticide applicator,No,,,Not sure,"Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Groundwater,No,,Yes,"Effort/time to manage it,Incompatibility with irrigation system(s),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards",We rented some bees and supplied some of our own,"California, but not a neighboring county",180,35-44 years old
1/16/20,Farm manager (not owner),Stanislaus,Central,16,Small,4,Owner of the almond orchard(s),No,,,Not sure,"Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",Decreased rental fee for managed bee colonies,Groundwater,Yes,Somewhat Satisfied,,Labor to plant and maintain it,Decreased rental fee for managed bee colonies,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,,45-54 years old
1/16/20,Farm manager (not owner),"Yolo,Solano",Delta,0,Small,15,"Farm manager,Affiliated PCA (with an agricultural retailer),Beekeeper",Yes,Directly from seed company,Very Satisfied,,We have no concerns about cover crops,,Groundwater,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",Our orchards were not mature enough for bee pollination,,,18-24 years old
1/16/20,Farm manager (not owner),Solano,Delta,0,Small,15,"Farm manager,Affiliated PCA (with an agricultural retailer)",Yes,Directly from seed company,Very Satisfied,,Increased risk of frost damage,,Groundwater,No,,Yes,"Cost to plant and maintain it,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",Our orchards were not mature enough for bee pollination,,,25-34 years old
1/18/20,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Central,900,Large,100,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Cost of seeds,Limited time for planting due to competing operations,Physical interference with operations",,A combination of surface water and groundwater,Yes,Not Satisfied,,"Labor to plant and maintain it,Effort/time to manage it,Physical interference with operations,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,"California, but not a neighboring county,Out of state",190,25-34 years old
1/18/20,Farm manager (not owner),Colusa,North,20,Small,5,Owner of the almond orchard(s),No,,,Not sure,We have no concerns about cover crops,Easy/affordable access to equipment needed to plant seeds,Groundwater,No,,No,Effort/time to manage it,Decreased rental fee for managed bee colonies,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,190,25-34 years old
1/18/20,Owner/operator of almond orchard(s),Fresno,South,3000,Large,40,"Owner of the almond orchard(s),Beekeeper",No,,,Not sure,"Incompatibility with irrigation system(s),Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,Yes,Somewhat Satisfied,,"Incompatibility with irrigation system(s),Expense of water,Availability of water",Decreased rental fee for managed bee colonies,We rented all our bees,Out of state,190,55-64 years old
1/18/20,Owner/operator of almond orchard(s),Stanislaus,Central,40,Small,15,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,Yes,"Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Out of state,185,45-54 years old
1/18/20,"Owner, not responsible for day-to-day management",Merced,Central,60,Medium,5,"Beekeeper,Bee broker",No,,,No,Prefer not to answer,Decreased rental fee for managed bee colonies,Groundwater,No,,No,Lack of information about how to grow permanent pollinator habitat,Decreased rental fee for managed bee colonies,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,190,45-54 years old
1/19/20,Owner/operator of almond orchard(s),San Joaquin,Central,29,Small,1,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer),Beekeeper",No,,,Not sure,"Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",None of these are incentives,Groundwater,Yes,Very Satisfied,,We have no concerns about permanent habitat,None of these are incentives,We rented all our bees,Out of state,175,65-74 years old
1/19/20,"Owner, not responsible for day-to-day management",Merced,Central,7.5,Small,3,Beekeeper,No,,,No,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",Surface water,No,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,N/A,75 years or older
1/19/20,"Owner, not responsible for day-to-day management",Stanislaus,Central,40,Small,10,Beekeeper,No,,,No,Prefer not to answer,Prefer not to answer,Surface water,No,,No,Expense of water,None of these are incentives,We rented some bees and supplied some of our own,"California, but not a neighboring county",200,25-34 years old
1/19/20,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus,Merced",Central,25,Small,10,"Farm manager,Affiliated PCA (with an agricultural retailer),Pesticide applicator,Beekeeper,Bee broker",No,,,Yes,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Expense of water,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,180,45-54 years old
1/21/20,Owner/operator of almond orchard(s),Fresno,South,60,Medium,20,Affiliated PCA (with an agricultural retailer),No,,,No,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",A combination of surface water and groundwater,No,,,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,200,25-34 years old
1/21/20,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Central,235,Large,110,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,,We have no concerns about cover crops,,A combination of surface water and groundwater,Not sure,,No,"Expense of water,Availability of water","Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,"California, but not a neighboring county",185,55-64 years old
1/21/20,"Owner, not responsible for day-to-day management",Merced,Central,50,Medium,0,Owner of the almond orchard(s),Yes,Directly from seed company,Very Satisfied,,We have no concerns about cover crops,,Surface water,Not sure,,Yes,Prefer not to answer,9,We rented some bees and supplied some of our own,"California, but not a neighboring county",,75 years or older
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,200,Medium,0,Independent PCA (not affiliated with an agricultural retailer),Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,,Increased risk of frost damage,,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,Fire danger from vegetation,Decreased rental fee for managed bee colonies,We rented all our bees,"California, but not a neighboring county",160,55-64 years old
1/21/20,Owner/operator of almond orchard(s),Kern,South,20,Small,0,Owner of the almond orchard(s),No,,,No,"Availability of water,Expense of water,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds",None of these are incentives,A combination of surface water and groundwater,No,,No,"Lack of available land,Cost to plant and maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)",None of these are incentives,We rented all our bees,"California, but not a neighboring county",200,55-64 years old
1/21/20,Owner/operator of almond orchard(s),Kern,South,17,Small,3,"Owner of the almond orchard(s),Farm manager,Independent PCA (not affiliated with an agricultural retailer)",No,,,No,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it",Increased strength of bee colonies during bloom,Surface water,No,,No,"Lack of available land,Effort/time to manage it,Availability of water",None of these are incentives,We rented all our bees,"California, but not a neighboring county",200,65-74 years old
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,20,Small,1,Beekeeper,No,,,Not sure,"Expense of water,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds",A combination of surface water and groundwater,No,,No,"Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,250,25-34 years old
1/21/20,Owner/operator of almond orchard(s),Kern,South,0,Small,19,Owner of the almond orchard(s),No,,,No,"Availability of water,Incompatibility with irrigation system(s)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,Expense of water,"Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",Our orchards were not mature enough for bee pollination,,,45-54 years old
1/21/20,Owner/operator of almond orchard(s),Fresno,South,20,Small,20,"Owner of the almond orchard(s),Farm manager,Independent PCA (not affiliated with an agricultural retailer),Affiliated PCA (with an agricultural retailer),Pesticide applicator,Beekeeper,Bee broker",Yes,"Directly from seed company,PCA/CCA/Crop consultant",Very Satisfied,,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",,Groundwater,Yes,Somewhat Satisfied,,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",N/A,35-44 years old
1/21/20,Owner/operator of almond orchard(s),Fresno,South,35,Small,15,"Affiliated PCA (with an agricultural retailer),Pesticide applicator,Beekeeper",No,,,Yes,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it",None of these are incentives,Groundwater,No,,Yes,"Expense of water,Availability of water",None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,200,25-34 years old
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,30,Small,3,Affiliated PCA (with an agricultural retailer),Yes,,Somewhat Satisfied,,We have no concerns about cover crops,,Surface water,No,,No,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)",Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Out of state,190,65-74 years old
1/21/20,Owner/operator of almond orchard(s),Merced,Central,8.5,Small,1,Owner of the almond orchard(s),No,,,No,Availability of water,Prefer not to answer,Groundwater,Not sure,,No,Lack of available land,None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,,Prefer not to answer
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,24,Small,4,Independent PCA (not affiliated with an agricultural retailer),No,,,Yes,Cost of equipment needed to plant seeds,Easy/affordable access to equipment needed to plant seeds,Groundwater,No,,Not sure,We have no concerns about permanent habitat,9,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,175,25-34 years old
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,15,Small,5,Owner of the almond orchard(s),No,,,Not sure,"Effort/time to manage it,Availability of equipment needed to plant seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds",A combination of surface water and groundwater,No,,Not sure,Prefer not to answer,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants",We rented all our bees,Out of state,180,25-34 years old
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,20,Small,0,Affiliated PCA (with an agricultural retailer),Yes,Directly from seed company,Somewhat Satisfied,,Physical interference with operations,,Surface water,No,,Not sure,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat,"Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",190,45-54 years old
1/21/20,Owner/operator of almond orchard(s),Fresno,South,7000,Large,2000,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer),Affiliated PCA (with an agricultural retailer)",No,,,No,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Increased risk of frost damage",None of these are incentives,A combination of surface water and groundwater,No,,No,"Lack of available land,Expense of water,Availability of water",None of these are incentives,We rented all our bees,Out of state,200,35-44 years old
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,0,Small,15,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",No,,,No,"Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",Surface water,Yes,Somewhat Satisfied,,Lack of available land,Decreased rental fee for managed bee colonies,Our orchards were not mature enough for bee pollination,,,25-34 years old
1/21/20,Owner/operator of almond orchard(s),Merced,Central,7,Small,0,"Owner of the almond orchard(s),Beekeeper",No,,,Not sure,"Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",Surface water,No,,No,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations,Expense of water,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",150,55-64 years old
1/21/20,Owner/operator of almond orchard(s),Stanislaus,Central,35,Small,4,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,No,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",Surface water,Yes,Somewhat Satisfied,,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,150,45-54 years old
1/21/20,Owner/operator of almond orchard(s),Merced,Central,31,Small,41,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer),Beekeeper",No,,,Yes,"Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds",Surface water,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Supporting native pollinators",We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,190,25-34 years old
1/21/20,Owner/operator of almond orchard(s),Fresno,South,40,Small,0,Owner of the almond orchard(s),Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Increased risk of frost damage,Physical interference with operations",,A combination of surface water and groundwater,No,,Yes,"Lack of available land,Incompatibility with irrigation system(s),Physical interference with operations,Increased risk of frost damage","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Prefer not to answer,,55-64 years old
1/21/20,Owner/operator of almond orchard(s),Fresno,South,590,Large,0,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,No,"Availability of water,Effort/time to manage it,Increased risk of frost damage,Physical interference with operations",Decreased rental fee for managed bee colonies,A combination of surface water and groundwater,No,,No,"Lack of available land,Effort/time to manage it,Physical interference with operations,Expense of water,Availability of water",None of these are incentives,We rented all our bees,"California, but not a neighboring county",175,55-64 years old
1/22/20,Owner/operator of almond orchard(s),Stanislaus,Central,40,Small,120,Affiliated PCA (with an agricultural retailer),No,,,Not sure,"Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",Groundwater,No,,Not sure,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",,35-44 years old
1/22/20,Owner/operator of almond orchard(s),Stanislaus,Central,10,Small,0.2,"Beekeeper,Bee broker",Yes,Directly from seed company,Somewhat Satisfied,,"Effort/time to manage it,Labor to grow/maintain it",,Surface water,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it","Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",245,35-44 years old
1/22/20,"Owner, not responsible for day-to-day management",Merced,Central,23,Small,0,"Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,Yes,"Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Surface water,No,,Yes,Lack of available land,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",185,25-34 years old
1/22/20,Owner/operator of almond orchard(s),Stanislaus,Central,18,Small,0,Owner of the almond orchard(s),Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,,We have no concerns about cover crops,,Other (please describe):,Yes,Somewhat Satisfied,,We have no concerns about permanent habitat,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,1.9,55-64 years old
1/22/20,Owner/operator of almond orchard(s),Merced,Central,15,Small,0,Owner of the almond orchard(s),No,,,Not sure,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",Prefer not to answer,Near your orchard(s): from the same county or a neighboring county,200,18-24 years old
1/22/20,Owner/operator of almond orchard(s),Stanislaus,Central,8,Small,2,Beekeeper,No,,,Not sure,Effort/time to manage it,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",Groundwater,No,,Not sure,Labor to plant and maintain it,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,195,65-74 years old
1/22/20,Owner/operator of almond orchard(s),Stanislaus,Central,39.8,Small,0.2,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",No,,,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,Not sure,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Availability of water,Increased risk of frost damage","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Out of state,190,55-64 years old
1/22/20,"Owner, not responsible for day-to-day management",Stanislaus,Central,255,Large,20,Farm manager,No,,,No,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,No,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations,Expense of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",None of these are incentives,We rented all our bees,Out of state,190,55-64 years old
